Cell,Type
E04170707P3,L2_3_Cux2_Frem3
C01170707P3,L2_Cux2_Lamp5
F07170707P3,L2_Cux2_Lamp5
C08HB47NeoCP8,L2_Cux2_Lamp5
H12HB47NeoCP9,L2_Cux2_Lamp5
H04170918P3,L2_Cux2_Lamp5
B23HB47NeoCP7,L2_Cux2_Lamp5
H18HB47NeoCP10,L5_6_Themis_Sema3a
D20HB47NeoCP7,L2_Cux2_Lamp5
B09170707P2,L2_3_Cux2_Frem3
E10MGE171027P3,L2_3_Cux2_Frem3
F08170707P3,L2_3_Cux2_Frem3
D09170918P2,L2_Cux2_Lamp5
D06170707P3,L2_3_Cux2_Frem3
H01170918P3,L2_3_Cux2_Frem3
G03HB47NeoCP4,L2_Cux2_Lamp5
D03170707P3,L2_3_Cux2_Frem3
E23HB47NeoCP7,L2_Cux2_Lamp5
H03HB47NeoCP8,L2_Cux2_Lamp5
D04HB47NeoCP8,L2_Cux2_Lamp5
C12HB47NeoCP6BSA,L2_Cux2_Lamp5
C13HB47NeoCP9,L2_Cux2_Lamp5
G06HB47NeoCP1,L2_Cux2_Lamp5
E05HB47NeoCP4,L2_Cux2_Lamp5
C23HB47NeoCP11,L2_Cux2_Lamp5
D22HB47NeoCP7,L4_Rorb_Met
H16HB47NeoCP10,L4_Rorb_Met
H15HB47NeoCP6BSA,L4_Rorb_Arhgap15
F18HB47NeoCP10,L4_Rorb_Met
G11HB47NeoCP6BSA,L4_Rorb_Mme
H01HB47NeoCP1,L4_Rorb_Met
G16HB47NeoCP10,L4_Rorb_Arhgap15
C23HB47NeoCP7,L4_Rorb_Arhgap15
C04MGE171027P1,L4_Rorb_Met
C06HB47NeoCP1,L4_Rorb_Met
A10HB47NeoCP6BSA,L4_Rorb_Met
F01170918P3,L3_Cux2_Prss12
H13HB47NeoCP9,L4_Rorb_Met
G16HB47NeoCP7Add,L4_Rorb_Met
H17HB47NeoCP10,L4_Rorb_Met
F21HB47NeoCP10,L4_Rorb_Met
H19HB47NeoCP10,L4_Rorb_Met
G11HB47NeoCP9,L4_Rorb_Arhgap15
C09HB47NeoCP6BSA,L4_Rorb_Met
F08HB47NeoCP6BSA,L4_Rorb_Met
B01HB47NeoCP1,L4_Rorb_Arhgap15
H14HB47NeoCP6BSA,L4_Rorb_Met
B15HB47NeoCP6BSA,L4_Rorb_Met
C07170918P3,L3_Cux2_Prss12
E19HB47NeoCP7,L4_Rorb_Mme
B20HB47NeoCP7,L4_Rorb_Met
C24HB47NeoCP11,L4_Rorb_Mme
C04HB47NeoCP8,L4_Rorb_Met
D22HB47NeoCP10,L4_Rorb_Mme
G10HB47NeoCP6BSA,L4_Rorb_Met
C04HB47NeoCP4,L4_Rorb_Met
D07HB47NeoCP8,L4_Rorb_Met
A12HB47NeoCP9,L4_Rorb_Met
A21HB47NeoCP10,L4_Rorb_Met
B13HB47NeoCP9,L4_Rorb_Met
B14HB47NeoCP7Add,L4_Rorb_Met
F06HB47NeoCP8,L4_Rorb_Mme
A06170707P3,L3_Cux2_Prss12
G06HB47NeoCP8,L4_Rorb_Arhgap15
B17HB47NeoCP7Add,L4_Rorb_Met
C08HB47NeoCP6BSA,L4_Rorb_Met
A16HB47NeoCP9,L4_Rorb_Mme
C14HB47NeoCP6BSA,L4_Rorb_Arhgap15
F15HB47NeoCP9,L4_Rorb_Mme
G07NeuN171115P1,L4_Rorb_Arhgap15
F05HB47NeoCP4,L4_Rorb_Mme
D21HB47NeoCP7,L4_Rorb_Mme
